AREA,N,19,0;PERIMETER,N,19,0;NAZEV,C,26;OB91,N,9,0;OB01,N,7,0;OB_311202,N,15,0;OKRES,C,8;NUTS4,C,9;NUTS3,C,8;NUTS2,C,7;KRAJ1960,C,10;NK,C,5;KN,C,7;KNOK,C,10;NAZKR,C,23;NAZEV_ENG,C,30;NAZKR_ENG,C,28
496077216;150985;Hlavní mìsto Praha;1214174;1180131;1161938;3100;CZ0110;CZ011;CZ01;3100;HP;01;0100;Hlavní mìsto Praha;Hlavni mesto Praha;Hlavni mesto Praha
1524922880;325996;Benešov;94419;93601;93220;3201;CZ0211;CZ021;CZ02;3200;ST;02;0201;Støedoèeský;Benesov;Stredocesky
661126080;190395;Beroun;75859;76171;76101;3202;CZ0212;CZ021;CZ02;3200;ST;02;0202;Støedoèeský;Beroun;Stredocesky
693434944;174453;Kladno;149407;151355;150181;3203;CZ0213;CZ021;CZ02;3200;ST;02;0203;Støedoèeský;Kladno;Stredocesky
844152256;253187;Kolín;97782;96290;95523;3204;CZ0214;CZ021;CZ02;3200;ST;02;0204;Støedoèeský;Kolin;Stredocesky
919655552;220360;Kutná Hora;75250;73918;73337;3205;CZ0215;CZ021;CZ02;3200;ST;02;0205;Støedoèeský;Kutna Hora;Stredocesky
711613632;229957;Mìlník;94402;95293;94868;3206;CZ0216;CZ021;CZ02;3200;ST;02;0206;Støedoèeský;Melnik;Stredocesky
1058918080;225530;Mladá Boleslav;111671;114983;114042;3207;CZ0217;CZ021;CZ02;3200;ST;02;0207;Støedoèeský;Mlada Boleslav;Stredocesky
875181184;220756;Nymburk;82714;84582;84784;3208;CZ0218;CZ021;CZ02;3200;ST;02;0208;Støedoèeský;Nymburk;Stredocesky
582989440;263779;Praha-východ;92510;96608;98453;3209;CZ0219;CZ021;CZ02;3200;ST;02;0209;Støedoèeský;Praha-vychod;Stredocesky
584251776;289840;Praha-západ;74911;83320;86777;3210;CZ021A;CZ021;CZ02;3200;ST;02;0210;Støedoèeský;Praha-zapad;Stredocesky
1627889408;325940;Pøíbram;108805;108226;107260;3211;CZ021B;CZ021;CZ02;3200;ST;02;0211;Støedoèeský;Pribram;Stredocesky
929156608;205158;Rakovník;55152;54419;54128;3212;CZ021C;CZ021;CZ02;3200;ST;02;0212;Støedoèeský;Rakovnik;Stredocesky
1626072704;305562;Èeské Budìjovice;173386;180383;178523;3301;CZ0311;CZ031;CZ03;3300;JC;03;0301;Jihoèeský;Ceske Budejovice;Jihocesky
1621207168;282616;Èeský Krumlov;57388;59897;59817;3302;CZ0312;CZ031;CZ03;3300;JC;03;0302;Jihoèeský;Cesky Krumlov;Jihocesky
1947900000;390479;Jindøichùv Hradec;93048;93457;92846;3303;CZ0313;CZ031;CZ03;3300;JC;03;0303;Jihoèeský;Jindrichuv Hradec;Jihocesky
1137763840;257550;Písek;72074;71036;70419;3305;CZ0314;CZ031;CZ03;3300;JC;03;0304;Jihoèeský;Pisek;Jihocesky
1378664064;257224;Prachatice;50985;51689;51410;3306;CZ0315;CZ031;CZ03;3300;JC;03;0305;Jihoèeský;Prachatice;Jihocesky
1031095104;270070;Strakonice;71978;70225;69496;3307;CZ0316;CZ031;CZ03;3300;JC;03;0306;Jihoèeský;Strakonice;Jihocesky
1328509056;274077;Tábor;104030;103503;102586;3308;CZ0317;CZ031;CZ03;3300;JC;03;0307;Jihoèeský;Tabor;Jihocesky
1141870848;214015;Domažlice;58729;59134;58895;3401;CZ0321;CZ032;CZ03;3400;PL;04;0401;Plzeòský;Domazlice;Plzensky
1940561152;297165;Klatovy;89767;88549;87680;3404;CZ0322;CZ032;CZ03;3400;PL;04;0402;Plzeòský;Klatovy;Plzensky
125023256;65079;Plzeò-mìsto;173791;166475;164703;3405;CZ0323;CZ032;CZ03;3400;PL;04;0404;Plzeòský;Plzen-mesto;Plzensky
1078953216;278936;Plzeò-jih;67794;68354;68045;3406;CZ0324;CZ032;CZ03;3400;PL;04;0403;Plzeòský;Plzen-jih;Plzensky
1324301056;312037;Plzeò-sever;72072;73493;73148;3407;CZ0325;CZ032;CZ03;3400;PL;04;0405;Plzeòský;Plzen-sever;Plzensky
575048640;174037;Rokycany;46118;46004;45574;3408;CZ0326;CZ032;CZ03;3400;PL;04;0406;Plzeòský;Rokycany;Plzensky
1380174080;216501;Tachov;50036;51841;51329;3410;CZ0327;CZ032;CZ03;3400;PL;04;0407;Plzeòský;Tachov;Plzensky
935997248;280050;Cheb;86932;89421;89107;3402;CZ0411;CZ041;CZ04;3400;KA;05;0501;Karlovarský;Cheb;Karlovarsky
1626077312;308589;Karlovy Vary;122430;123070;121886;3403;CZ0412;CZ041;CZ04;3400;KA;05;0502;Karlovarský;Karlovy Vary;Karlovarsky
754547584;192493;Sokolov;92623;94396;93227;3409;CZ0413;CZ041;CZ04;3400;KA;05;0503;Karlovarský;Sokolov;Karlovarsky
907341440;214877;Dìèín;133448;134737;133631;3502;CZ0421;CZ042;CZ04;3500;US;06;0601;Ústecký;Decin;Ustecky
939240128;219591;Chomutov;124081;126052;124744;3503;CZ0422;CZ042;CZ04;3500;US;06;0602;Ústecký;Chomutov;Ustecky
1034880704;204172;Litomìøice;113883;115170;114497;3506;CZ0423;CZ042;CZ04;3500;US;06;0603;Ústecký;Litomerice;Ustecky
1117766144;281215;Louny;86640;86525;85830;3507;CZ0424;CZ042;CZ04;3500;US;06;0604;Ústecký;Louny;Ustecky
466480000;158804;Most;120212;118333;116786;3508;CZ0425;CZ042;CZ04;3500;US;06;0605;Ústecký;Most;Ustecky
469545792;143554;Teplice;127872;127085;126635;3509;CZ0426;CZ042;CZ04;3500;US;06;0606;Ústecký;Teplice;Ustecky
405837056;118449;Ústí nad Labem;118325;118967;117589;3510;CZ0427;CZ042;CZ04;3500;US;06;0607;Ústecký;Usti nad Labem;Ustecky
1135828864;195405;Èeská Lípa;102259;106013;105981;3501;CZ0511;CZ051;CZ05;3500;LB;07;0701;Liberecký;Ceska Lipa;Liberecky
401703264;117271;Jablonec nad Nisou;88118;88818;88068;3504;CZ0512;CZ051;CZ05;3500;LB;07;0702;Liberecký;Jablonec nad Nisou;Liberecky
927327168;224291;Liberec;159196;160220;158107;3505;CZ0513;CZ051;CZ05;3500;LB;07;0703;Liberecký;Liberec;Liberecky
698003904;186165;Semily;75547;75769;75165;3608;CZ0514;CZ051;CZ05;3600;LB;07;0704;Liberecký;Semily;Liberecky
876028032;216483;Hradec Králové;162050;162020;159622;3602;CZ0521;CZ052;CZ05;3600;KH;08;0801;Královéhradecký;Hradec Kralove;Kralovehradecky
887079744;213481;Jièín;78650;78166;77368;3604;CZ0522;CZ052;CZ05;3600;KH;08;0802;Královéhradecký;Jicin;Kralovehradecky
855374336;234697;Náchod;111939;113275;112448;3605;CZ0523;CZ052;CZ05;3600;KH;08;0803;Královéhradecký;Nachod;Kralovehradecky
998649600;185975;Rychnov nad Knìžnou;78756;79396;79003;3607;CZ0524;CZ052;CZ05;3600;KH;08;0804;Královéhradecký;Rychnov nad Kneznou;Kralovehradecky
1149403136;220435;Trutnov;121414;121737;119996;3610;CZ0525;CZ052;CZ05;3600;KH;08;0805;Královéhradecký;Trutnov;Kralovehradecky
1029639488;210685;Chrudim;106040;105699;104901;3603;CZ0531;CZ053;CZ05;3600;PA;09;0901;Pardubický;Chrudim;Pardubicky
890899904;220203;Pardubice;163121;161959;160564;3606;CZ0532;CZ053;CZ05;3600;PA;09;0902;Pardubický;Pardubice;Pardubicky
1335571072;227411;Svitavy;102455;103107;102247;3609;CZ0533;CZ053;CZ05;3600;PA;09;0903;Pardubický;Svitavy;Pardubicky
1266950784;259102;Ústí nad Orlicí;137102;139361;138822;3611;CZ0534;CZ053;CZ05;3600;PA;09;0904;Pardubický;Usti nad Orlici;Pardubicky
1265736192;230094;Havlíèkùv Brod;96113;95446;94826;3601;CZ0611;CZ061;CZ06;3600;VY;10;1001;Vysoèina;Havlickuv Brod;Vysocina
1178149504;260813;Jihlava;108449;108959;108231;3707;CZ0612;CZ061;CZ06;3700;VY;10;1002;Vysoèina;Jihlava;Vysocina
1292320000;223324;Pelhøimov;74614;73318;72589;3304;CZ0613;CZ061;CZ06;3300;VY;10;1003;Vysoèina;Pelhrimov;Vysocina
1515980032;296449;Tøebíè;117105;117615;117002;3710;CZ0614;CZ061;CZ06;3700;VY;10;1004;Vysoèina;Trebic;Vysocina
1672120448;249485;Žïár nad Sázavou;124787;125970;124982;3714;CZ0615;CZ061;CZ06;3700;VY;10;1005;Vysoèina;Zdar nad Sazavou;Vysocina
941538240;225522;Blansko;107809;108039;107454;3701;CZ0621;CZ062;CZ06;3700;JM;11;1101;Jihomoravský;Blansko;Jihomoravsky
230030672;114431;Brno-mìsto;388296;379743;370505;3702;CZ0622;CZ062;CZ06;3700;JM;11;1102;Jihomoravský;Brno-mesto;Jihomoravsky
1109912832;362501;Brno-venkov;156189;159537;161269;3703;CZ0623;CZ062;CZ06;3700;JM;11;1103;Jihomoravský;Brno-venkov;Jihomoravsky
1172915712;226151;Bøeclav;123337;124992;123265;3704;CZ0624;CZ062;CZ06;3700;JM;11;1104;Jihomoravský;Breclav;Jihomoravsky
1085832832;221751;Hodonín;161118;160526;158602;3706;CZ0625;CZ062;CZ06;3700;JM;11;1105;Jihomoravský;Hodonin;Jihomoravsky
887867904;217879;Vyškov;86575;86800;86636;3712;CZ0626;CZ062;CZ06;3700;JM;11;1106;Jihomoravský;Vyskov;Jihomoravsky
1636832256;268314;Znojmo;113508;114533;114061;3713;CZ0627;CZ062;CZ06;3700;JM;11;1107;Jihomoravský;Znojmo;Jihomoravsky
721398464;156040;Jeseník;42583;42635;42251;3811;CZ0711;CZ071;CZ07;3800;OL;12;1201;Olomoucký;Jesenik;Olomoucky
1450976768;271323;Olomouc;223436;225818;224156;3805;CZ0712;CZ071;CZ07;3800;OL;12;1202;Olomoucký;Olomouc;Olomoucky
769239232;248073;Prostìjov;112208;110399;109524;3709;CZ0713;CZ071;CZ07;3700;OL;12;1203;Olomoucký;Prostejov;Olomoucky
883985600;251276;Pøerov;138379;136587;134895;3808;CZ0714;CZ071;CZ07;3800;OL;12;1204;Olomoucký;Prerov;Olomoucky
1315783552;210437;Šumperk;126190;126907;125924;3809;CZ0715;CZ071;CZ07;3800;OL;12;1205;Olomoucký;Sumperk;Olomoucky
798344000;244824;Kromìøíž;107988;108547;107959;3708;CZ0721;CZ072;CZ07;3700;ZL;14;1401;Zlínský;Kromeriz;Zlinsky
989372480;190794;Uherské Hradištì;145188;145140;144116;3711;CZ0722;CZ072;CZ07;3700;ZL;14;1402;Zlínský;Uherske Hradiste;Zlinsky
1140912384;182846;Vsetín;146898;147698;146474;3810;CZ0723;CZ072;CZ07;3800;ZL;14;1403;Zlínský;Vsetin;Zlinsky
1031987456;202843;Zlín;196829;196463;194581;3705;CZ0724;CZ072;CZ07;3700;ZL;14;1404;Zlínský;Zlin;Zlinsky
1662141568;259600;Bruntál;104415;105862;104480;3801;CZ0811;CZ081;CZ08;3800;MS;13;1301;Moravskoslezský;Bruntal;Moravskoslezsky
1274276096;211515;Frýdek-Místek;227522;227642;226592;3802;CZ0812;CZ081;CZ08;3800;MS;13;1302;Moravskoslezský;Frydek-Mistek;Moravskoslezsky
349981664;120364;Karviná;284558;281716;277244;3803;CZ0813;CZ081;CZ08;3800;MS;13;1303;Moravskoslezský;Karvina;Moravskoslezsky
918462208;189508;Nový Jièín;158767;160662;159473;3804;CZ0814;CZ081;CZ08;3800;MS;13;1304;Moravskoslezský;Novy Jicin;Moravskoslezsky
1146626688;239333;Opava;180638;182292;180769;3806;CZ0815;CZ081;CZ08;3800;MS;13;1305;Moravskoslezský;Opava;Moravskoslezsky
214995472;90857;Ostrava-mìsto;327371;319238;314102;3807;CZ0816;CZ081;CZ08;3800;MS;13;1306;Moravskoslezský;Ostrava-mesto;Moravskoslezsky
